open,low,close,volume,high,datetime
0.03290200,0.03288700,0.03289400,22.65300000,0.03290800,2020-10-11 15:31:55
0.03290200,0.03288700,0.03289200,22.74300000,0.03290800,2020-10-11 15:31:59
0.03290200,0.03288700,0.03289200,22.74300000,0.03290800,2020-10-11 15:32:07
0.03289600,0.03289600,0.03289700,4.03200000,0.03289700,2020-10-11 15:32:09
0.03289600,0.03289500,0.03289500,5.11200000,0.03289700,2020-10-11 15:32:12
0.03289600,0.03289500,0.03289500,5.12900000,0.03289700,2020-10-11 15:32:15
0.03289600,0.03289400,0.03289400,5.15200000,0.03289700,2020-10-11 15:32:17
0.03289600,0.03289100,0.03289100,5.15600000,0.03289700,2020-10-11 15:32:21
0.03289600,0.03288900,0.03288900,5.45900000,0.03289700,2020-10-11 15:32:23
0.03289600,0.03288900,0.03288900,5.75300000,0.03289700,2020-10-11 15:32:26
0.03289600,0.03288900,0.03289200,8.16800000,0.03289700,2020-10-11 15:32:30
0.03289600,0.03288900,0.03289300,8.64800000,0.03289700,2020-10-11 15:32:40
0.03289600,0.03288900,0.03289100,14.84700000,0.03289700,2020-10-11 15:32:43
0.03289600,0.03288900,0.03289200,15.45800000,0.03289700,2020-10-11 15:32:46
0.03289600,0.03288900,0.03289300,15.48800000,0.03289700,2020-10-11 15:32:50
0.03289600,0.03288900,0.03289300,15.48800000,0.03289700,2020-10-11 15:33:01
0.03289300,0.03288800,0.03288800,4.32200000,0.03289300,2020-10-11 15:33:04
0.03289300,0.03288800,0.03288800,6.83100000,0.03289300,2020-10-11 15:33:06
0.03289300,0.03288800,0.03289200,9.30100000,0.03289300,2020-10-11 15:33:17
0.03289300,0.03288800,0.03289000,13.72000000,0.03289300,2020-10-11 15:33:20
0.03289300,0.03288800,0.03289200,13.85000000,0.03289300,2020-10-11 15:33:22
0.03289300,0.03288800,0.03289200,14.47200000,0.03289300,2020-10-11 15:33:25
0.03289300,0.03288800,0.03289200,14.62200000,0.03289300,2020-10-11 15:33:33
0.03289300,0.03288800,0.03289300,41.42400000,0.03289300,2020-10-11 15:33:35
0.03289300,0.03288800,0.03289400,41.94300000,0.03289400,2020-10-11 15:33:39
0.03289300,0.03288800,0.03289500,41.95700000,0.03289500,2020-10-11 15:33:45
0.03289300,0.03288800,0.03289600,41.96100000,0.03289600,2020-10-11 15:33:48
0.03289300,0.03288800,0.03289600,42.02300000,0.03289600,2020-10-11 15:33:50
0.03289300,0.03288800,0.03289500,65.58300000,0.03289600,2020-10-11 15:33:54
0.03289300,0.03288800,0.03289600,65.67000000,0.03289600,2020-10-11 15:33:57
0.03289300,0.03288800,0.03289700,79.98500000,0.03289700,2020-10-11 15:34:01
0.03289800,0.03289800,0.03289800,0.01000000,0.03289800,2020-10-11 15:34:03
0.03289800,0.03289700,0.03289700,0.07600000,0.03289800,2020-10-11 15:34:14
0.03289800,0.03289700,0.03290100,0.08000000,0.03290100,2020-10-11 15:34:21
0.03289800,0.03289300,0.03289400,3.14900000,0.03290100,2020-10-11 15:34:23
0.03289800,0.03289300,0.03289300,35.83400000,0.03290100,2020-10-11 15:34:25
0.03289800,0.03289300,0.03290000,37.98000000,0.03290100,2020-10-11 15:34:29
